,Date,ID,Name,Abs_magnitude,Min_diameter,Max_diameter,Potential_hazard,Close_approach_date,Relative_velocity,Miss_distance,Orbiting_body,Sentry_object
40,2023-01-05,3836890,(2018 XE4),26.4,0.0139493823,0.0311917671,False,2023-01-05,8.2080746206,0.0590740776,Earth,False
41,2023-01-05,3893730,(2019 WC5),22.47,0.0852226386,0.1905636132,False,2023-01-05,14.4434895144,0.0652379563,Earth,False
42,2023-01-05,3943360,(2019 YV1),25.23,0.0239086457,0.0534613571,False,2023-01-05,19.1096632751,0.4939584529,Earth,False
43,2023-01-05,54017045,(2020 JN2),23.8,0.046190746,0.1032856481,False,2023-01-05,20.9520144214,0.3361545239,Earth,False
44,2023-01-05,54131319,(2021 EB3),25.18,0.0244655496,0.0547066321,False,2023-01-05,10.8581056834,0.059229733,Earth,False
45,2023-01-05,54293101,(2022 PF),26.86,0.011286388,0.0252371308,False,2023-01-05,6.2032071505,0.4664704345,Earth,False
46,2023-01-05,54327914,(2022 WB3),21.15,0.1565146436,0.3499773825,False,2023-01-05,5.2885144784,0.3023222934,Earth,False
47,2023-01-05,54328008,(2022 WH3),24.3,0.0366906138,0.0820427065,False,2023-01-05,3.7294842312,0.1266604021,Earth,False
48,2023-01-05,54330737,(2022 WT10),20.42,0.219055911,0.4898239078,False,2023-01-05,16.7991461515,0.3258493158,Earth,False
49,2023-01-05,54336644,(2022 YL4),27.64,0.0078805218,0.0176213825,False,2023-01-05,1.9550276576,0.0132544678,Earth,False
50,2023-01-05,54338281,(2023 AE),26.05,0.0163890951,0.0366471308,False,2023-01-05,13.6425512498,0.0111224107,Earth,False
51,2023-01-05,54438507,(2024 HX1),26.58,0.012839703,0.0287104486,False,2023-01-05,20.6990513438,0.4657899359,Earth,False
52,2023-01-02,2189173,189173 (2002 XY4),18.93,0.4350658314,0.9728367737,False,2023-01-02,23.5814723548,0.2870577659,Earth,False
53,2023-01-02,3773986,(2017 HJ),27.53,0.0082900085,0.0185370226,False,2023-01-02,15.2184774696,0.340845682,Earth,True
54,2023-01-02,54104850,(2021 AT2),27.27,0.0093444765,0.0208948847,False,2023-01-02,15.409944929,0.433610561,Earth,False
55,2023-01-02,54165397,(2021 NF),24.75,0.0298232505,0.0666868155,False,2023-01-02,11.3208901031,0.0457042809,Earth,False
56,2023-01-02,54194357,(2021 RG6),28.92,0.00437074,0.0097732718,False,2023-01-02,5.5318504538,0.1845521556,Earth,True
57,2023-01-02,54200306,(2021 SV1),26.48,0.0134448195,0.0300635304,False,2023-01-02,10.2127932635,0.2716888154,Earth,False
58,2023-01-02,54289939,(2022 LG5),21.13,0.1579628558,0.3532156834,False,2023-01-02,14.3221604385,0.1123453988,Earth,False
59,2023-01-02,54289135,(2022 MF2),26.13,0.0157962856,0.0353215683,False,2023-01-02,11.2761497643,0.3022322852,Earth,False
60,2023-01-02,54330293,(2022 WV7),22.98,0.067383719,0.1506745763,False,2023-01-02,5.7619837485,0.1459599004,Earth,False
61,2023-01-02,54336625,(2022 YT3),25.81,0.018304378,0.0409298336,False,2023-01-02,6.4383941081,0.0284596934,Earth,False
62,2023-01-02,54336627,(2022 YU3),25.86,0.0178877195,0.0399981568,False,2023-01-02,7.1337864174,0.0251910695,Earth,False
63,2023-01-02,54336632,(2022 YZ3),25.16,0.0246919266,0.0552128263,False,2023-01-02,11.7003407242,0.0605767842,Earth,False
